title,company,location,url,experience,salary,description,source,scrape_date,job_type,keywords
Executive (Indirect Taxation GST),H N A &amp;amp;amp; Co LLP (formerly Hiregange &amp;amp;amp; Associates LLP),"Guwahati, Kolkata, Mumbai, Visakhapatnam, Pune, Chennai, Gurugram",https://www.naukri.com/job-listings-executive-indirect-taxation-gst-h-n-a-amp-amp-amp-co-llp-formerly-hiregange-amp-amp-amp-associates-llp-guwahati-kolkata-mumbai-visakhapatnam-pune-chennai-gurugram-1-to-3-years-180425500495,,,No Description Available,Naukri,2025-04-27,Full Time,
"Executive - Finance, Accounts, Financial Due Diligence",Tact India,Gurugram,https://www.naukri.com/job-listings-executive-finance-accounts-financial-due-diligence-tact-india-gurugram-1-to-5-years-250425015144,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive,Alkush Industries,Daman & Diu,https://www.naukri.com/job-listings-account-executive-alkush-industries-daman-diu-1-to-2-years-260425003037,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive - EMR & Consumer,Wipro,Noida,https://www.naukri.com/job-listings-account-executive-emr-consumer-wipro-limited-noida-0-to-5-years-250425917163,,,No Description Available,Naukri,2025-04-27,Full Time,
"Accounts & Finance Executive, Freshers, 2024 Can als apply",Large-Sized Firm in IT Services Sector,"Hyderabad, Chennai, Bengaluru",https://www.naukri.com/job-listings-accounts-finance-executive-freshers-2024-can-als-apply-creative-hands-hr-hyderabad-chennai-bengaluru-0-to-5-years-210425004966,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive,Nakoda Machinery,Ahmednagar,https://www.naukri.com/job-listings-account-executive-nakoda-machinery-pvt-ltd-ahmednagar-0-to-4-years-110425019760,,,No Description Available,Naukri,2025-04-27,Full Time,
"Accounts officer/Executive- Silchar, Assam",Agilus Diagnostics,Silchar,https://www.naukri.com/job-listings-accounts-officer-executive-silchar-assam-agilus-diagnostics-silchar-1-to-4-years-030425017259,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive (Immadiate joiner) For Edlipse - Noida 135,Edlipse,Noida(Sector-135 Noida),https://www.naukri.com/job-listings-account-executive-immadiate-joiner-for-edlipse-noida-135-excelvana-noida-1-to-5-years-240425007613,,,No Description Available,Naukri,2025-04-27,Full Time,
Accounts Executive,Creative Hr Service,"Daman & Diu, Vapi, Dadra & Nagar Haveli",https://www.naukri.com/job-listings-accounts-executive-creative-hr-service-vapi-dadra-nagar-haveli-daman-diu-1-to-3-years-040225008296,,,No Description Available,Naukri,2025-04-27,Full Time,
Hiring Accountant,Oxygent Consulting Services,"Imphal, Shillong, Kohima, Port Blair, Aizawl, Daman & Diu, Puducherry, Gangtok, Itanagar",https://www.naukri.com/job-listings-hiring-accountant-oxygent-consulting-services-imphal-shillong-kohima-port-blair-aizawl-daman-diu-puducherry-gangtok-itanagar-1-to-6-years-090425004923,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive - Public Sector,Wipro,Noida,https://www.naukri.com/job-listings-account-executive-public-sector-wipro-limited-noida-0-to-5-years-250425916211,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive,Nitcab Electric India Pvt Ltd,Ranchi,https://www.naukri.com/job-listings-account-executive-nitcab-electric-india-pvt-ltd-ranchi-0-to-3-years-040425013291,,,No Description Available,Naukri,2025-04-27,Full Time,
Executive- Accounting and Finance Controllership,Nexdigm (SKP),Pune,https://www.naukri.com/job-listings-executive-accounting-and-finance-controllership-skp-business-consulting-llp-pune-0-to-1-years-180425500722,,,No Description Available,Naukri,2025-04-27,Full Time,
Fresher Accounts/finance Executive,Brightpath Technology & Services,Bangalore/Bengaluru(Hosur Road),https://www.naukri.com/job-listings-fresher-accounts-finance-executive-brightpath-technology-services-bangalore-bengaluru-0-to-2-years-161224003234,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive,Codepix Solutions Pvt Ltd,Pune(Hadapsar),https://www.naukri.com/job-listings-account-executive-codepix-solutions-pvt-ltd-pune-0-to-2-years-090425013485,,,No Description Available,Naukri,2025-04-27,Full Time,
US Accounts/Finance Executive,Pragma Edge Software Services,"Bengaluru, India",https://www.naukri.com/job-listings-us-accounts-finance-executive-pragma-edge-software-services-bengaluru-india-0-to-1-years-270125018997,,,No Description Available,Naukri,2025-04-27,Full Time,
Hiring Accountant,Oxygent Consulting Services,"Nagpur, Kanpur, Kanpur Dehat, Jamshedpur, Kanpur Nagar, Faridabad, Gurugram, Rajkot, Aurangabad",https://www.naukri.com/job-listings-hiring-accountant-oxygent-consulting-services-nagpur-kanpur-kanpur-dehat-jamshedpur-kanpur-nagar-faridabad-gurugram-rajkot-aurangabad-1-to-6-years-090425004861,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive - EMR & Consumer,Wipro,Noida,https://www.naukri.com/job-listings-account-executive-emr-consumer-wipro-limited-noida-0-to-5-years-250425917163,,,No Description Available,Naukri,2025-04-27,Full Time,
Walk-in Fresher's/Exp -Global MNCs For Account/Exe/Tax/Direct/Indirect,Wisdom Bridge Consultants,"Chintamani, Dod Ballapur, Mulbagal, Chikkaballapura, Devanahalli, Nelamangala, Anekal, Gundlupet, Yelahanka",https://www.naukri.com/job-listings-walk-in-fresher-s-exp-global-mncs-for-account-exe-tax-direct-indirect-wisdom-bridge-consultants-chintamani-dod-ballapur-mulbagal-chikkaballapura-devanahalli-nelamangala-anekal-gundlupet-yelahanka-0-to-5-years-230425018169,,,No Description Available,Naukri,2025-04-27,Full Time,
Accounts Executive For CA firm,Management Consulting,Mumbai,https://www.naukri.com/job-listings-accounts-executive-for-ca-firm-humantra-hr-solutions-pvt-ltd-mumbai-0-to-5-years-210425901623,,,No Description Available,Naukri,2025-04-27,Full Time,
Accounts Executive,AIR Hr Solutions,Bengaluru(HSR Layout),https://www.naukri.com/job-listings-accounts-executive-air-hr-solutions-bengaluru-0-to-2-years-250425021659,,,No Description Available,Naukri,2025-04-27,Full Time,
Hiring Accountant,Oxygent Consulting Services,"Angul, Bareilly, Rourkela, Dadra & Nagar Haveli, Gorakhpur, Bokaro, Balasore, Ranchi",https://www.naukri.com/job-listings-hiring-accountant-oxygent-consulting-services-angul-bareilly-rourkela-dadra-nagar-haveli-gorakhpur-bokaro-balasore-ranchi-1-to-6-years-090425004913,,,No Description Available,Naukri,2025-04-27,Full Time,
Vacancy For Accounts and Tax Executive,SYNMAC CONSULTANTS,"New Delhi, Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-vacancy-for-accounts-and-tax-executive-synmac-consultants-new-delhi-chennai-bangalore-bengaluru-0-to-5-years-280325011785,,,No Description Available,Naukri,2025-04-27,Full Time,
Hiring For Account Process Executive - Greet Technologies,Next Vision Business Solution,Bengaluru,https://www.naukri.com/job-listings-hiring-for-account-process-executive-greet-technologies-next-vision-business-solution-bengaluru-0-to-1-years-210425017479,,,No Description Available,Naukri,2025-04-27,Full Time,
Accounts Executive For CA firm,Management Consulting,Mumbai,https://www.naukri.com/job-listings-accounts-executive-for-ca-firm-humantra-hr-solutions-pvt-ltd-mumbai-0-to-5-years-210425917881,,,No Description Available,Naukri,2025-04-27,Full Time,
Accounts Executive For CA firm,Management Consulting,Mumbai,https://www.naukri.com/job-listings-accounts-executive-for-ca-firm-humantra-hr-solutions-pvt-ltd-mumbai-0-to-5-years-210425917881,,,No Description Available,Naukri,2025-04-27,Full Time,
Hiring Accountant,Oxygent Consulting Services,"Guwahati, Panipat, Jalandhar, Haridwar, Bhubaneswar, Cuttack, Dehradun, Dhanbad, Amritsar",https://www.naukri.com/job-listings-hiring-accountant-oxygent-consulting-services-guwahati-panipat-jalandhar-haridwar-bhubaneswar-cuttack-dehradun-dhanbad-amritsar-1-to-6-years-090425004869,,,No Description Available,Naukri,2025-04-27,Full Time,
Senior Executive - Direct Tax | Leading Accounting Firm,Mount Talent Consulting Private Limited,Delhi / NCR,https://www.naukri.com/job-listings-senior-executive-direct-tax-leading-accounting-firm-mount-talent-consulting-private-limited-delhi-ncr-1-to-5-years-240425926308,,,No Description Available,Naukri,2025-04-27,Full Time,
